ID,initalWeight,experimentType,odor,concentration,trial,totalCorrect,totalAttempts,controlCorrect,controlAttempts,datetime
2153,22.1,90-10,2pe,0.01,8,61,109,0,0,4.27.2021 18:21:33
2154,21.63,100-0,benzaldehyde,0.1,8,45,86,6,8,4.14.2021 15:44:07
2155,17.74,100-0,2pe,0.01,8,14,30,1,2,4.27.2021 19:07:15
2139,14.9,100-0,pinene,1,9,19,38,4,4,11.25.2020 12:50:06
2140,17.8,100-0,pinene,0.1,9,115,148,11,16,1.14.2021 18:26:29
2140,18.7,90-10,pinene,1,9,45,81,0,0,12.7.2020 11:26:17
2141,16.2,100-0,pinene,1,9,59,76,6,10,11.20.2020 15:03:07
2141,19.4,90-10,pinene,1,9,51,103,0,0,12.14.2020 16:27:21
2148,16.9,100-0,pinene,1,9,93,99,5,10,2.12.2021 16:53:28
2150,19.5,100-0,2pe,0.001,9,115,129,8,15,3.16.2021 16:53:34
2151,21.81,100-0,2pe,0.01,9,13,17,0,0,3.11.2021 15:57:18
2152,19.4,100-0,2pe,.01,9,102,119,5,12,3.8.2021 11:52:31
2152,21.06,90-10,2pe,0.01,9,6,9,0,0,4.12.2021 12:17:57
2153,21.27,90-10,2pe,0.01,9,50,89,0,0,4.28.2021 18:51:32
2154,21.28,100-0,benzaldehyde,0.1,9,93,114,7,14,4.15.2021 21:03:45
2155,17.44,100-0,2pe,0.01,9,12,26,2,2,4.28.2021 19:35:10
2139,16.0,100-0,pinene,1,10,42,79,6,9,11.30.2020 14:20:02
2140,17.8,100-0,pinene,0.1,10,99,141,9,16,1.15.2021 17:21:46
2140,18.1,90-10,pinene,1,10,64,109,0,0,12.10.2020 12:54:17
2141,16.7,100-0,pinene,1,10,107,155,8,17,11.23.2020 15:18:29
2141,19.4,90-10,pinene,1,10,33,59,0,0,12.15.2020 14:24:08
2148,18.5,100-0,pinene,0,10,40,92,8,11,2.18.2021 14:04:13
2150,18.6,100-0,2pe,0.001,10,99,115,10,13,3.17.2021 16:43:03
2151,24.2,100-0,benzaldehyde,0.1,10,2,3,0,0,3.15.2021 12:58:07
2152,19.91,100-0,2pe,0.01,10,72,77,5,8,3.9.2021 12:58:43
2152,18.4,90-10,2pe,0.01,10,92,114,0,0,4.13.2021 18:25:34
2154,22.52,100-0,benzaldehyde,0.1,10,86,106,8,11,4.16.2021 14:47:26
2155,17.44,100-0,2pe,0.01,10,13,26,2,4,4.28.2021 20:02:18
2139,14.9,100-0,pinene,1,11,21,43,1,4,12.2.2020 14:37:37
2140,19.7,100-0,pinene,0.01,11,68,119,4,12,1.19.2021 16:30:36
2140,18.9,90-10,pinene,1,11,64,108,0,0,12.11.2020 13:58:37
2141,16.3,100-0,pinene,1,11,120,134,6,14,11.24.2020 12:55:12
2141,18.6,90-10,pinene,1,11,61,117,0,0,12.16.2020 15:09:33
2148,17.9,100-0,vanillin,1,11,31,82,6,8,2.24.2021 14:18:45
2150,18.3,100-0,2pe,0.001,11,122,140,7,16,3.18.2021 16:42:01
2151,18.7,100-0,benzaldehyde,0.1,11,8,11,2,4,3.26.2021 10:51:12
2152,18.7,100-0,2pe,0.01,11,79,91,7,11,3.10.2021 12:04:02
2152,18.35,90-10,2pe,0.01,11,47,93,0,0,4.14.2021 14:57:53
2154,22.4,100-0,2pe-benz,0.01/0.1,11,25,40,0,4,5.3.2021 19:37:10
2155,19.2,100-0,2pe-benz,0.01/0.1,11,5,7,0,0,5.3.2021 20:23:33
2139,16.0,100-0,pinene,1,12,26,47,3,7,12.3.2020 13:05:45
2140,18.9,100-0,pinene,0.01,12,100,148,6,16,1.20.2021 17:51:01
2140,18.7,90-10,pinene,1,12,59,105,0,0,12.14.2020 15:44:30
2141,17.8,100-0,pinene,1,12,69,133,6,16,1.11.2021 17:56:34
2141,18.0,90-10,pinene,1,12,76,149,0,0,12.17.2020 17:41:13
2148,17.9,100-0,vanillin,1,12,35,105,5,12,2.25.2021 18:01:48
2150,18.2,100-0,2pe,0.001,12,121,140,11,16,3.19.2021 15:21:10
2151,21.26,100-0,benzaldehyde,0.1,12,27,54,2,5,3.29.2021 17:46:28
2152,18.52,100-0,2pe,0.001,12,72,96,6,8,3.11.2021 15:10:52
2152,17.3,90-10,2pe,0.01,12,79,91,0,0,4.15.2021 17:48:48
2154,18.25,100-0,benzaldehyde,0.1,12,5,5,0,1,5.4.2021 18:47:16
2155,18.25,100-0,8,0.01,12,12,17,1,1,5.4.2021 18:08:54
2139,16.0,100-0,pinene,1,13,39,54,4,7,12.4.2020 13:11:45
2140,18.3,100-0,pinene,0.01,13,86,155,16,19,1.21.2021 16:57:15
2140,18.9,90-10,pinene,1,13,42,74,0,0,12.15.2020 13:39:31
2141,17.6,100-0,pinene,1,13,63,130,9,14,1.12.2021 17:18:30
2141,17.7,90-10,pinene,1,13,75,150,0,0,12.18.2020 17:07:59
2148,18.0,100-0,vanillin,1,13,32,97,2,10,2.26.2021 15:33:24
2150,21.2,100-0,2pe,0.0001,13,30,39,3,4,3.22.2021 14:48:46
2151,21.04,100-0,benzaldehyde,0.1,13,10,19,0,1,3.31.2021 12:45:25
2152,18.9,100-0,2pe,0.01,13,59,79,5,10,3.15.2021 11:42:09
2152,18.35,90-10,2pe,0.01,13,71,78,0,0,4.16.2021 11:39:41
2154,18.25,100-0,benzaldehyde,0.1,13,6,8,1,2,5.4.2021 20:22:14
2155,18.25,100-0,2pe,0.1,13,6,13,1,1,5.4.2021 19:35:36
2139,17.0,100-0,pinene,1,14,30,38,2,4,12.7.2020 10:42:49
2140,18.0,100-0,pinene,0.001,14,90,178,10,19,1.22.2021 18:04:06
2140,18.2,90-10,pinene,1,14,60,116,0,0,12.16.2020 14:26:51
2141,17.5,100-0,pinene,1,14,73,141,6,16,1.13.2021 16:49:20
2150,20.0,100-0,2pe,0.0001,14,52,69,3,6,3.23.2021 14:43:33
2151,20.41,100-0,benzaldehyde,0.1,14,1,27,1,3,4.1.2021 16:57:48
2152,19.0,100-0,2pe,0.01,14,78,87,5,10,3.16.2021 12:00:24
2152,19.19,90-10,2pe,0.01,14,83,94,0,0,4.19.2021 17:35:13
2154,21.02,100-0,benzaldehyde,.1,14,32,50,2,4,5.6.2021 17:36:58
2155,17.58,100-0,2pe,.01,14,9,17,0,0,5.6.2021 18:31:23
2139,17.1,100-0,pinene,1,15,37,53,2,6,12.10.2020 12:11:30
2140,19.4,100-0,pinene,0.001,15,84,150,11,17,1.25.2021 16:37:26
2140,17.7,90-10,pinene,1,15,84,146,0,0,12.17.2020 16:57:01
2141,17.4,100-0,pinene,0.1,15,82,153,4,16,1.14.2021 19:09:34
2148,18.8,100-0,vanillin,1,15,44,90,5,9,3.3.2021 18:01:40
2150,19.0,100-0,2pe,0.0001,15,93,130,8,14,3.24.2021 15:22:39
2151,19.95,100-0,benzaldehyde,0.1,15,16,29,1,3,4.2.2021 16:40:55
2152,19.57,100-0,2pe,0.01,15,71,79,4,9,3.17.2021 12:39:16
2152,18.72,90-10,2pe,0.01,15,93,104,0,0,4.20.2021 19:17:43
2154,21.16,100-0,benzaldehyde,NA,15,18,24,0,2,5.7.2021 16:09:05
2155,17.65,100-0,2pe,NA,15,26,46,3,4,5.7.2021 16:58:39
2139,17.9,100-0,pinene,1,16,35,46,3,6,12.11.2020 13:15:16
2140,18.8,100-0,pinene,0.001,16,106,156,8,16,1.26.2021 16:03:04
2140,17.6,90-10,pinene,1,16,88,136,0,0,12.18.2020 16:24:34
2141,17.5,100-0,pinene,0.1,16,80,144,9,16,1.15.2021 18:05:10
2148,17.90,100-0,vanillin,1,16,43,74,2,8,3.4.2021 17:08:44
2150,18.6,100-0,2pe,0.0001,16,118,153,6,18,3.25.2021 15:13:58
2151,19.95,100-0,benzaldehyde,0.1,16,10,53,2,6,4.2.2021 17:21:21
2152,18.5,100-0,2pe,0.01,16,92,102,3,9,3.18.2021 11:47:40
2152,18.2,90-10,2pe,0.01,16,107,120,0,0,4.21.2021 15:05:40
2154,21.16,100-0,benzaldehyde,NA,16,39,47,4,5,5.7.2021 16:04:57
2155,18.1,100-0,2pe,NA,16,15,28,2,2,5.10.2021 18:41:26
2139,18.0,100-0,pinene,1,17,40,53,4,5,12.14.2020 15:00:49
2140,18.1,100-0,pinene,0.0001,17,103,182,8,20,1.27.2021 18:43:35
2141,19.1,100-0,pinene,0.01,17,68,121,4,14,1.19.2021 17:14:49
2148,17.0,100-0,2pe,0.01,17,115,121,9,14,3.5.2021 16:37:40
2150,18.3,100-0,2pe,0.0001,17,131,149,8,16,3.26.2021 16:47:24
2151,21.81,100-0,benzaldehyde,0.1,17,64,102,7,10,4.5.2021 20:00:36
2152,18.51,100-0,2pe,0.01,17,87,107,6,11,3.19.2021 11:29:00
2152,17.6,90-10,2pe,0.01,17,153,168,0,0,4.22.2021 18:11:40
2154,22.05,100-0,benzaldehyde,NA,17,35,50,5,6,5.10.2021 17:55:50
2155,18.3,100-0,2PE,.01,17,15,30,1,4,5.11.2021 17:25:21
2139,18.6,100-0,pinene,1,18,26,30,2,4,12.15.2020 12:56:12
2140,17.8,100-0,pinene,0.0001,18,97,195,11,21,1.28.2021 17:17:06
2141,18.3,100-0,pinene,0.01,18,96,129,10,14,1.20.2021 18:33:38
2148,19.4,100-0,2pe,0.01,18,40,54,4,5,3.8.2021 16:49:26
2150,20.65,100-0,2pe,0.0001,18,98,115,5,13,4.2.2021 15:38:08
2151,21.54,100-0,benzaldehyde,0.1,18,79,118,10,13,4.6.2021 18:09:03
2152,21.05,100-0,2pe,0.01,18,92,99,5,10,3.22.2021 16:52:21
2152,14.5,90-10,2pe,0.01,18,156,166,0,0,4.23.2021 16:19:45
2154,22.2,100-0,benzaldehyde,.1,18,57,76,6,10,5.11.2021 18:21:32
2155,18.35,100-0,2pe,.1,18,7,15,0,2,5.12.2021 17:42:34
2139,17.6,100-0,pinene,1,19,52,61,3,7,12.16.2020 13:43:21
2140,18.0,100-0,pinene,0.0001,19,95,176,8,20,1.29.2021 14:42:10
2141,18.2,100-0,pinene,0.01,19,95,140,9,16,1.21.2021 17:45:35
2148,18.40,100-0,2pe,0.01,19,72,87,5,9,3.9.2021 16:37:19
2150,21.75,100-0,2pe,0.0001,19,25,30,1,4,4.5.2021 15:59:18
2151,21.17,100-0,benzaldehyde,0.1,19,107,128,6,14,4.8.2021 18:34:40
2152,18.9,100-0,2pe,0.01,19,76,85,4,9,3.23.2021 15:33:31
2154,22.1,100-0,benzaldehyde,.1,19,49,62,1,8,5.12.2021 16:57:22
2155,18.26,100-0,2PE,.01,19,17,30,1,4,5.13.2021 18:31:03
2139,17.0,100-0,pinene,1,20,68,80,8,11,12.17.2020 16:13:53
2140,19.5,100-0,pinene,0.0001,20,73,105,5,12,2.1.2021 18:17:14
2141,17.9,100-0,pinene,0.001,20,108,151,5,17,1.22.2021 18:48:41
2148,17.7,100-0,2pe,0.001,20,105,112,6,13,3.10.2021 16:49:18
2150,19.4,100-0,2pe,0.0001,20,89,124,6,14,4.7.2021 14:12:13
2151,21.28,100-0,benzaldehyde,0.1,20,115,132,7,14,4.9.2021 18:19:03
2152,18.88,100-0,2pe,0.01,20,73,87,6,9,3.24.2021 16:56:17
2154,21.9,100-0,benzaldehyde,.1,20,44,47,5,6,5.13.2021 19:20:24
2155,18.4,100-0,2pe,0.001,20,33,55,0,5,5.14.2021 15:03:20
2139,16.7,100-0,pinene,1,21,90,100,6,10,12.18.2020 15:39:28
2140,18.8,100-0,pinene,0.0001,21,118,166,11,20,2.2.2021 16:27:21
2141,19.9,100-0,pinene,0.001,21,80,123,7,14,1.25.2021 17:24:42
2148,18.3,100-0,2pe,0.001,21,62,65,6,8,3.16.2021 16:09:04
2150,18.3,100-0,2pe,0.0001,21,104,119,7,12,4.9.2021 14:43:45
2151,22.36,100-0,benzaldehyde,0.1,21,73,111,5,12,4.12.2021 14:50:57
2152,18.7,100-0,2pe,0.01,21,142,159,9,17,3.25.2021 16:56:36
2154,22.2,100-0,Benzaldyhyde,0.001,21,46,51,4,7,5.14.2021 14:16:48
2139,17.6,100-0,pinene,1,22,75,95,4,10,1.11.2021 16:24:11
2140,18.5,100-0,pinene,0.0001,22,124,192,9,22,2.3.2021 15:43:43
2141,19.1,100-0,pinene,0.001,22,103,138,8,16,1.26.2021 16:49:30
2148,17.7,100-0,2pe,0.001,22,88,96,6,12,3.17.2021 15:57:12
2151,21.7,100-0,benzaldehyde,0.1,22,75,123,8,13,4.13.2021 17:34:56
2152,18.73,100-0,2pe,0.01,22,75,78,5,8,3.26.2021 11:36:36
2139,17.5,100-0,pinene,1,23,79,88,2,9,1.12.2021 15:51:27
2140,18.1,100-0,pinene,0.0001,23,128,193,9,20,2.4.2021 16:42:03
2141,18.6,100-0,pinene,0.0001,23,106,158,8,19,1.27.2021 19:27:37
2148,17.3,100-0,2pe,0.001,23,106,117,6,15,3.18.2021 15:49:59
2151,22.26,100-0,benzaldehyde,0.1,23,62,119,6,13,4.14.2021 16:28:47
2139,17.6,100-0,pinene,1,24,78,86,3,10,1.13.2021 15:24:13
2140,18.0,100-0,pinene,0.0001,24,125,196,10,21,2.5.2021 15:30:33
2141,18.0,100-0,pinene,0.0001,24,105,159,9,18,1.28.2021 18:02:13
2148,17.0,100-0,2pe,0.001,24,109,123,5,12,3.19.2021 14:36:31
2151,20.91,100-0,benzaldehyde,0.1,24,105,148,14,16,4.15.2021 20:17:01
2139,17.4,100-0,pinene,0.1,25,114,126,8,13,1.14.2021 17:44:02
2140,18.5,100-0,pinene,0.00001,25,133,185,14,22,2.9.2021 16:04:36
2141,18.2,100-0,pinene,0.0001,25,104,149,7,16,1.29.2021 15:30:01
2148,19.9,100-0,2pe,0.0001,25,1,7,0,0,3.22.2021 14:01:40
2151,21.10,100-0,benzaldehyde,0.1,25,92,127,11,14,4.16.2021 14:02:30
2139,17.4,100-0,pinene,0.1,26,104,122,6,13,1.15.2021 16:38:25
2140,18.4,100-0,pinene,0.00001,26,133,175,11,20,2.10.2021 15:36:12
2141,19.7,100-0,pinene,0.0001,26,60,83,5,9,2.1.2021 19:06:34
2148,18.6,100-0,2pe,0.0001,26,67,96,7,12,3.23.2021 13:49:52
2151,21.62,100-0,benzaldehyde,0.1,26,55,117,3,12,4.19.2021 19:50:40
2139,20.2,100-0,pinene,0.01,27,58,66,3,6,1.19.2021 15:46:33
